image_name,Imager_id,generation,sex,selection,replicate,sampling,trait,individual_id,length,repeat_measure
JK_350_F_C_1_R_L-F_1,JK,350,F,C,1,R,L-F,1,0.532,1
JK_350_F_C_1_R_L-Ti_1,JK,350,F,C,1,R,L-Ti,1,0.437,1
JK_350_F_C_1_R_L-Ta_1,JK,350,F,C,1,R,L-Ta,1,0.184,1
JK_350_F_C_1_R_L-F_2,JK,350,F,C,1,R,L-F,2,0.56,1
JK_350_F_C_1_R_L-Ti_2,JK,350,F,C,1,R,L-Ti,2,0.452,1
JK_350_F_C_1_R_L-Ta_2,JK,350,F,C,1,R,L-Ta,2,0.207,1
JK_350_F_C_1_R_L-F_3,JK,350,F,C,1,R,L-F,3,0.504,1
JK_350_F_C_1_R_L-Ti_3,JK,350,F,C,1,R,L-Ti,3,0.423,1
JK_350_F_C_1_R_L-Ta_3,JK,350,F,C,1,R,L-Ta,3,0.174,1
JK_350_F_C_1_R_L-F_4,JK,350,F,C,1,R,L-F,4,0.555,1
JK_350_F_C_1_R_L-Ti_4,JK,350,F,C,1,R,L-Ti,4,0.475,1
JK_350_F_C_1_R_L-Ta_4,JK,350,F,C,1,R,L-Ta,4,0.197,1
JK_350_F_C_1_R_L-F_5,JK,350,F,C,1,R,L-F,5,0.461,1
JK_350_F_C_1_R_L-Ti_5,JK,350,F,C,1,R,L-Ti,5,0.357,1
JK_350_F_C_1_R_L-Ta_5,JK,350,F,C,1,R,L-Ta,5,0.151,1
JK_350_F_C_1_R_L-F_6,JK,350,F,C,1,R,L-F,6,0.495,1
JK_350_F_C_1_R_L-Ti_6,JK,350,F,C,1,R,L-Ti,6,0.413,1
JK_350_F_C_1_R_L-Ta_6,JK,350,F,C,1,R,L-Ta,6,0.188,1
JK_350_F_C_1_R_L-F_7,JK,350,F,C,1,R,L-F,7,0.493,1
JK_350_F_C_1_R_L-Ti_7,JK,350,F,C,1,R,L-Ti,7,0.435,1
JK_350_F_C_1_R_L-Ta_7,JK,350,F,C,1,R,L-Ta,7,0.198,1
JK_350_F_C_1_R_L-F_8,JK,350,F,C,1,R,L-F,8,0.493,1
JK_350_F_C_1_R_L-Ti_8,JK,350,F,C,1,R,L-Ti,8,0.447,1
JK_350_F_C_1_R_L-Ta_8,JK,350,F,C,1,R,L-Ta,8,0.195,1
JK_350_F_C_1_R_L-F_9,JK,350,F,C,1,R,L-F,9,0.524,1
JK_350_F_C_1_R_L-Ti_9,JK,350,F,C,1,R,L-Ti,9,0.428,1
JK_350_F_C_1_R_L-Ta_9,JK,350,F,C,1,R,L-Ta,9,0.169,1
JK_350_F_C_1_R_L-F_10,JK,350,F,C,1,R,L-F,10,0.509,1
JK_350_F_C_1_R_L-Ti_10,JK,350,F,C,1,R,L-Ti,10,0.442,1
JK_350_F_C_1_R_L-Ta_10,JK,350,F,C,1,R,L-Ta,10,0.194,1
JK_350_F_C_1_R_L-F_11,JK,350,F,C,1,R,L-F,11,0.504,1
JK_350_F_C_1_R_L-Ti_11,JK,350,F,C,1,R,L-Ti,11,0.473,1
JK_350_F_C_1_R_L-Ta_11,JK,350,F,C,1,R,L-Ta,11,0.189,1
JK_350_F_C_1_R_L-F_12,JK,350,F,C,1,R,L-F,12,0.51,1
JK_350_F_C_1_R_L-Ti_12,JK,350,F,C,1,R,L-Ti,12,0.422,1
JK_350_F_C_1_R_L-Ta_12,JK,350,F,C,1,R,L-Ta,12,0.184,1
JK_350_F_C_1_R_L-F_13,JK,350,F,C,1,R,L-F,13,0.571,1
JK_350_F_C_1_R_L-Ti_13,JK,350,F,C,1,R,L-Ti,13,0.471,1
JK_350_F_C_1_R_L-Ta_13,JK,350,F,C,1,R,L-Ta,13,0.198,1
JK_350_F_C_1_R_L-F_14,JK,350,F,C,1,R,L-F,14,0.534,1
JK_350_F_C_1_R_L-Ti_14,JK,350,F,C,1,R,L-Ti,14,0.421,1
JK_350_F_C_1_R_L-Ta_14,JK,350,F,C,1,R,L-Ta,14,0.188,1
JK_350_F_C_1_R_L-F_15,JK,350,F,C,1,R,L-F,15,0.555,1
JK_350_F_C_1_R_L-Ti_15,JK,350,F,C,1,R,L-Ti,15,0.464,1
JK_350_F_C_1_R_L-Ta_15,JK,350,F,C,1,R,L-Ta,15,0.209,1
JK_350_F_C_1_R_L-F_16,JK,350,F,C,1,R,L-F,16,0.492,1
JK_350_F_C_1_R_L-Ti_16,JK,350,F,C,1,R,L-Ti,16,0.452,1
JK_350_F_C_1_R_L-Ta_16,JK,350,F,C,1,R,L-Ta,16,0.188,1
JK_350_F_C_1_R_L-F_17,JK,350,F,C,1,R,L-F,17,0.58,1
JK_350_F_C_1_R_L-Ti_17,JK,350,F,C,1,R,L-Ti,17,0.476,1
JK_350_F_C_1_R_L-Ta_17,JK,350,F,C,1,R,L-Ta,17,0.212,1
