Sire,Dam,Replicate,F1_Males,F1_Females,F2_Males,F2_Females
E1,E1,1,32,28,43,48
E1,E1,2,NA,NA,NA,NA
E1,E1,3,42,48,56,43
E1,E1,4,54,19,36,16
E1,E1,5,10,5,24,17
E1,E1,6,43,44,61,50
E1,E1,7,52,38,20,15
E1,E1,8,43,42,60,43
E1,E1,9,12,4,6,3
E1,E1,10,45,33,12,5
E1,E1,11,47,37,30,33
E1,E1,12,NA,NA,NA,NA
E1,E1,13,37,40,12,2
E1,E1,14,34,41,30,30
E1,E1,15,39,22,33,32
E2,E2,1,19,19,22,19
E2,E2,2,18,13,4,1
E2,E2,3,35,30,10,11
E2,E2,4,13,10,10,7
E2,E2,5,6,13,15,5
E2,E2,6,19,28,7,6
E2,E2,7,11,17,22,19
E2,E2,8,22,15,26,26
E2,E2,9,4,2,12,5
E2,E2,10,28,18,26,19
E2,E2,11,29,15,17,10
E2,E2,12,34,25,36,46
E2,E2,13,20,17,13,6
E2,E2,14,27,22,21,19
E2,E2,15,41,23,34,49
E1,Lhm,1,50,47,35,56
E1,Lhm,2,60,50,22,30
E1,Lhm,3,37,65,5,0
E1,Lhm,4,51,55,21,22
E1,Lhm,5,27,36,11,12
E1,Lhm,6,41,38,26,27
E1,Lhm,7,52,42,79,78
E1,Lhm,8,51,49,35,66
E1,Lhm,9,42,45,46,54
E1,Lhm,10,38,38,8,7
E1,Lhm,11,44,55,21,37
E1,Lhm,12,48,59,96,98
E1,Lhm,13,31,44,82,99
E1,Lhm,14,40,50,21,29
E1,Lhm,15,48,33,63,75
Lhm,E1,1,3,2,4,7
Lhm,E1,2,31,29,53,50
Lhm,E1,3,32,28,48,44
Lhm,E1,4,42,40,31,17
Lhm,E1,5,43,32,84,85
Lhm,E1,6,39,37,102,102
Lhm,E1,7,43,27,23,17
Lhm,E1,8,42,36,16,18
Lhm,E1,9,37,45,94,74
Lhm,E1,10,37,30,13,19
Lhm,E1,11,43,53,43,46
Lhm,E1,12,41,29,88,98
Lhm,E1,13,39,48,13,13
Lhm,E1,14,38,63,24,28
Lhm,E1,15,NA,NA,NA,NA
E2,Lhm,1,46,38,0,3
E2,Lhm,2,41,40,15,15
E2,Lhm,3,54,44,38,44
E2,Lhm,4,53,52,31,21
E2,Lhm,5,42,52,24,27
E2,Lhm,6,54,45,56,57
E2,Lhm,7,44,50,35,25
E2,Lhm,8,41,50,15,46
E2,Lhm,9,29,44,68,69
E2,Lhm,10,47,57,74,90
E2,Lhm,11,57,40,60,78
E2,Lhm,12,44,46,13,14
E2,Lhm,13,31,25,49,52
E2,Lhm,14,41,55,17,10
E2,Lhm,15,49,61,86,61
Lhm,E2,1,46,38,77,83
Lhm,E2,2,42,39,62,72
Lhm,E2,3,54,45,18,9
Lhm,E2,4,23,24,49,80
Lhm,E2,5,39,29,54,58
Lhm,E2,6,28,26,45,27
Lhm,E2,7,17,24,29,17
Lhm,E2,8,NA,NA,NA,NA
Lhm,E2,9,38,48,24,25
Lhm,E2,10,42,32,NA,NA
Lhm,E2,11,28,31,87,74
Lhm,E2,12,28,33,23,24
Lhm,E2,13,NA,NA,NA,NA
Lhm,E2,14,34,28,53,44
Lhm,E2,15,41,40,58,69
C1,Lhm,1,45,42,50,43
C1,Lhm,2,49,49,NA,NA
C1,Lhm,3,NA,NA,NA,NA
C1,Lhm,4,NA,NA,NA,NA
C1,Lhm,5,41,43,39,65
C1,Lhm,6,44,73,62,73
C1,Lhm,7,42,49,30,31
C1,Lhm,8,NA,NA,NA,NA
C1,Lhm,9,45,33,NA,NA
C1,Lhm,10,44,50,43,63
C1,Lhm,11,49,48,45,48
C1,Lhm,12,31,69,75,82
C1,Lhm,13,41,35,59,47
C1,Lhm,14,33,50,42,79
C1,Lhm,15,32,53,38,44
Lhm,C1,1,53,38,81,85
Lhm,C1,2,44,45,82,78
Lhm,C1,3,49,39,63,84
Lhm,C1,4,42,35,79,84
Lhm,C1,5,40,43,40,57
Lhm,C1,6,20,22,57,66
Lhm,C1,7,36,50,68,65
Lhm,C1,8,52,54,11,14
Lhm,C1,9,42,36,64,57
Lhm,C1,10,NA,NA,NA,NA
Lhm,C1,11,43,40,60,51
Lhm,C1,12,34,47,46,52
Lhm,C1,13,38,40,37,75
Lhm,C1,14,NA,NA,NA,NA
Lhm,C1,15,NA,NA,NA,NA
C2,Lhm,1,45,55,57,64
C2,Lhm,2,NA,NA,75,68
C2,Lhm,3,33,57,64,65
C2,Lhm,4,44,40,NA,NA
C2,Lhm,5,50,35,70,93
C2,Lhm,6,52,49,84,76
C2,Lhm,7,22,13,92,86
C2,Lhm,8,52,52,61,84
C2,Lhm,9,46,55,56,46
C2,Lhm,10,NA,NA,NA,NA
C2,Lhm,11,50,61,72,86
C2,Lhm,12,NA,NA,NA,NA
C2,Lhm,13,37,57,70,65
C2,Lhm,14,46,38,69,68
C2,Lhm,15,37,36,79,68
Lhm,C2,1,44,50,63,70
Lhm,C2,2,24,27,69,73
Lhm,C2,3,49,33,22,19
Lhm,C2,4,44,40,65,61
Lhm,C2,5,40,38,5,6
Lhm,C2,6,50,51,70,59
Lhm,C2,7,22,13,75,71
Lhm,C2,8,46,42,69,76
Lhm,C2,9,44,51,10,16
Lhm,C2,10,40,43,79,75
Lhm,C2,11,33,47,11,10
Lhm,C2,12,41,52,71,73
Lhm,C2,13,8,24,31,64
Lhm,C2,14,36,43,72,84
Lhm,C2,15,33,49,76,63
L1,Lhm,1,33,32,32,51
L1,Lhm,2,38,23,60,62
L1,Lhm,3,31,54,48,66
L1,Lhm,4,37,37,22,33
L1,Lhm,5,34,36,34,47
L1,Lhm,6,45,49,68,72
L1,Lhm,7,44,40,46,40
L1,Lhm,8,41,28,48,68
L1,Lhm,9,35,39,65,64
L1,Lhm,10,43,36,65,73
L1,Lhm,11,NA,NA,,
L1,Lhm,12,7,8,,
L1,Lhm,13,47,53,,
L1,Lhm,14,60,42,,
L1,Lhm,15,NA,NA,,
Lhm,L1,1,NA,NA,NA,NA
Lhm,L1,2,42,49,54,59
Lhm,L1,3,41,57,60,79
Lhm,L1,4,36,42,54,44
Lhm,L1,5,40,51,51,65
Lhm,L1,6,25,43,15,16
Lhm,L1,7,45,45,37,58
Lhm,L1,8,44,39,48,58
Lhm,L1,9,47,43,87,48
Lhm,L1,10,42,45,52,44
Lhm,L1,11,51,31,77,81
Lhm,L1,12,32,38,,
Lhm,L1,13,NA,NA,,
Lhm,L1,14,29,27,,
Lhm,L1,15,46,41,,
L2,Lhm,1,51,41,37,42
L2,Lhm,2,30,43,44,42
L2,Lhm,3,26,34,40,33
L2,Lhm,4,NA,NA,NA,NA
L2,Lhm,5,43,34,78,82
L2,Lhm,6,37,60,38,62
L2,Lhm,7,54,45,44,75
L2,Lhm,8,39,42,51,51
L2,Lhm,9,36,54,69,62
L2,Lhm,10,44,50,74,76
L2,Lhm,11,49,45,60,58
L2,Lhm,12,46,41,,
L2,Lhm,13,44,48,,
L2,Lhm,14,39,54,,
L2,Lhm,15,45,43,,
Lhm,L2,1,44,38,78,68
Lhm,L2,2,25,35,68,74
Lhm,L2,3,27,36,62,73
Lhm,L2,4,46,35,41,32
Lhm,L2,5,36,20,60,53
Lhm,L2,6,4,48,59,56
Lhm,L2,7,23,46,66,83
Lhm,L2,8,34,32,63,75
Lhm,L2,9,30,21,74,63
Lhm,L2,10,29,35,21,35
Lhm,L2,11,19,39,,
Lhm,L2,12,38,39,,
Lhm,L2,13,41,22,,
Lhm,L2,14,33,29,,
Lhm,L2,15,35,45,,
